順位,選手名,チーム,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
1,前田　健太,広島,2.21,28,15,8,0,0,.652,848,215.2,166,15,46,7,174,55,53,0.98,3.11
2,金子　千尋,オリックス,3.30,30,17,8,0,1,.680,831,204.1,184,17,44,3,190,85,75,1.12,3.02
3,成瀬　善久,ロッテ,3.31,28,13,11,0,0,.542,817,203.2,173,29,34,4,192,78,75,1.02,3.62
4,久保　康友,阪神,3.25,29,14,5,0,0,.737,819,202.1,183,22,45,12,158,75,73,1.13,3.74
5,ダルビッシュ　有,日本ハム,1.78,26,12,8,0,0,.600,805,202.0,158,5,47,7,222,48,40,1.01,2.05
6,岩隈　久志,楽天,2.82,28,10,9,0,0,.526,821,201.0,184,11,36,12,153,68,63,1.09,3.01
7,涌井　秀章,西武,3.67,27,14,8,0,0,.636,828,196.1,191,21,54,9,154,85,80,1.25,3.84
8,チェン,中日,2.87,29,13,10,0,1,.565,773,188.0,166,21,49,8,153,63,60,1.14,3.82
9,石川　雅規,ヤクルト,3.53,28,13,8,0,0,.619,783,186.1,209,20,27,7,98,81,73,1.27,3.99
10,永井　怜,楽天,3.74,27,10,10,0,0,.500,779,182.2,173,20,69,3,125,82,76,1.32,4.36
10,杉内　俊哉,ソフトバンク,3.55,27,16,7,0,0,.696,779,182.2,169,12,60,8,218,75,72,1.25,2.69
12,村中　恭兵,ヤクルト,3.44,28,11,10,0,0,.524,765,178.0,176,15,69,8,163,79,68,1.38,3.66
13,木佐貫　洋,オリックス,3.98,28,10,12,0,0,.455,767,174.1,174,9,71,13,140,85,77,1.41,3.63
14,和田　毅,ソフトバンク,3.14,26,17,8,0,0,.680,696,169.1,145,11,55,1,169,59,59,1.18,2.96
15,武田　勝,日本ハム,2.41,26,14,7,0,0,.667,661,168.1,161,12,19,1,106,47,45,1.07,3.13
16,由規,ヤクルト,3.60,25,12,9,0,0,.571,724,167.2,158,11,74,8,149,78,67,1.38,3.59
17,帆足　和幸,西武,3.69,27,11,8,0,0,.579,692,163.1,173,13,35,12,104,72,67,1.27,3.73
18,ケッペル,日本ハム,3.35,25,12,8,0,0,.600,669,158.2,156,10,53,9,85,67,59,1.32,4.02
19,東野　峻,巨人,3.27,27,13,8,0,0,.619,673,157.0,152,11,55,9,140,64,57,1.32,3.45
20,吉見　一起,中日,3.50,25,12,9,0,0,.571,659,156.2,159,19,25,5,115,67,61,1.17,3.73
21,清水　直行,横浜,5.40,26,10,11,0,0,.476,699,155.0,203,26,39,8,105,98,93,1.56,4.84
21,田中　将大,楽天,2.50,20,11,6,0,0,.647,643,155.0,159,9,32,5,119,47,43,1.23,3.04
23,ラズナー,楽天,4.48,26,5,11,0,0,.313,669,152.2,154,13,58,9,118,83,76,1.39,3.98
24,渡辺　俊介,ロッテ,4.49,26,8,8,0,0,.500,651,148.1,171,10,45,7,63,77,74,1.46,4.20
25,内海　哲也,巨人,4.38,27,11,8,0,0,.579,636,148.0,168,14,32,4,121,84,72,1.35,3.38
26,館山　昌平,ヤクルト,2.93,21,12,7,0,0,.632,607,147.2,147,17,24,4,112,55,48,1.16,3.63
27,加賀　繁,横浜,3.66,27,3,12,0,1,.200,620,145.0,165,15,28,7,83,67,59,1.33,3.98
28,マーフィー,ロッテ,3.75,38,12,6,0,5,.667,627,144.0,127,9,84,3,125,61,60,1.47,4.01
29,近藤　一樹,オリックス,4.35,24,5,10,0,0,.333,620,142.2,151,16,49,7,133,79,69,1.40,3.87
30,ゴンザレス,巨人,5.29,25,5,13,0,0,.278,585,132.2,161,12,32,11,88,80,78,1.45,3.92
31,スタンリッジ,阪神,3.49,23,11,5,0,0,.688,530,126.1,121,6,37,13,98,55,49,1.25,3.35
32,スタルツ,広島,5.07,21,6,10,0,0,.375,560,124.1,149,23,46,3,87,74,70,1.57,5.28
33,藤井　秀悟,巨人,3.76,23,7,3,0,0,.700,501,122.0,107,16,34,6,91,53,51,1.16,4.27
34,大家　友和,横浜,4.59,22,7,9,0,0,.438,525,121.2,145,16,22,3,62,72,62,1.37,4.40
35,許　銘傑,西武,4.55,22,6,9,0,0,.400,529,120.2,150,13,28,2,62,75,61,1.48,4.24
36,ジオ,広島,4.07,20,8,8,0,0,.500,501,119.1,110,14,37,7,97,60,54,1.23,4.13
37,中田　賢一,中日,2.90,19,7,4,0,0,.636,491,118.0,99,9,41,4,105,43,38,1.19,3.43
38,岸　孝之,西武,3.25,19,10,6,1,0,.625,460,113.2,100,9,26,5,110,41,41,1.11,3.01
39,大隣　憲司,ソフトバンク,4.31,20,4,9,0,0,.308,482,110.2,116,12,43,1,91,57,53,1.44,4.08
40,山井　大介,中日,3.75,19,7,4,0,1,.636,464,110.1,105,10,39,5,84,49,46,1.31,3.92
41,篠田　純平,広島,4.47,34,6,6,0,4,.500,478,108.2,119,13,44,4,58,56,54,1.50,4.85
42,中澤　雅人,ヤクルト,5.68,23,7,9,0,0,.438,483,107.2,130,23,40,2,62,76,68,1.58,5.89
43,山本　省吾,オリックス,5.47,23,8,10,0,1,.444,478,107.0,143,19,20,8,79,71,65,1.52,4.74
44,岸田　護,オリックス,3.27,57,6,5,12,11,.545,440,104.2,107,6,24,1,96,42,38,1.25,2.69
44,石井　一久,西武,3.70,18,9,6,0,0,.600,453,104.2,105,10,34,2,93,50,43,1.33,3.62
46,小椋　真介,ソフトバンク,5.29,24,4,8,0,0,.333,468,102.0,98,14,67,3,113,65,60,1.62,4.72
47,齊藤　悠葵,広島,5.58,23,4,7,0,1,.364,459,100.0,135,13,37,3,49,63,62,1.72,4.97
47,下柳　剛,阪神,4.32,19,7,8,0,0,.467,441,100.0,110,13,33,6,58,54,48,1.43,4.73
49,久保　裕也,巨人,2.77,79,8,1,1,32,.889,376,91.0,72,8,23,7,96,28,28,1.04,3.01
49,ランドルフ,横浜,4.25,16,2,9,0,0,.182,391,91.0,77,9,52,3,83,46,43,1.42,4.36
